Id,Reaction,External ids,template,GN_CRS2_LM,LN_PRAXIS,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r91_Asn_BIO,Asn-->AsnBiomass,(kegg:BiomassAsn),0.131139384,0.131139384,0.131139384,fixed,0.131139384,1.0,0.0,1000.0,nd,no
r92_Glu_BIO,Glu-->GluBiomass,(kegg:Glu2),0.175763203,0.175763203,0.175763203,fixed,0.175763203,1.0,0.0,1000.0,nd,no
r93_Gln_BIO,Gln-->GlnBiomass,(kegg:BiomassGln),0.146621117,0.146621117,0.146621117,fixed,0.146621117,1.0,0.0,1000.0,nd,no
r94_Pro_BIO,Pro-->ProBiomass,(kegg:BiomassPro),0.142523012,0.142523012,0.142523012,fixed,0.142523012,1.0,0.0,1000.0,nd,no
r95_Arg_BIO,Arg-->ArgBiomass,(kegg:BiomassArg),0.171665097,0.171665097,0.171665097,fixed,0.171665097,1.0,0.0,1000.0,nd,no
r96_Leu_BIO,Leu-->LeuBiomass,(kegg:BiomassLeu),0.256814628,0.256814628,0.256814628,fixed,0.256814628,1.0,0.0,1000.0,nd,no
r97_Ile_BIO,Ile-->IleBiomass,(kegg:BiomassIle),0.147531808,0.147531808,0.147531808,fixed,0.147531808,1.0,0.0,1000.0,nd,no
r98_Val_BIO,Val-->ValBiomass,(kegg:BiomassVal),0.189423555,0.189423555,0.189423555,fixed,0.189423555,1.0,0.0,1000.0,nd,no
r100_CO2_in,CO2in-->CO2Ex,(kegg:CO2_ex),996.3827808317134,900.076320378644,901.6096187275042,free,0.0,1.0,0.0,1000.0,A-->A,no
r101_CO2_ex,SubsCO2-->CO2in,(kegg:SubsCO2),900.5865546755391,831.4572792657028,832.9511525552585,free,0.0,1.0,0.0,1000.0,A-->A,no
r102_PGA_ex,PGA-->PGAEx+NADH+{4}NADPH,(keggPGA_ex),47.199132902037746,56.302329548647805,56.26487962921064,free,1.0,1.0,0.0,200.0,nd,no
r103_FA_ex,AcCOAcyt+{2}NADPH-->FAEx,(kegg:FA_ex),45.055622094034504,19.903894478135953,19.943493535201583,free,1.0,1.0,0.0,200.0,nd,no
r104_MAL_ex,Mal-->Malcyt,(kegg:MAL_cyt),605.7103660893292,496.5769391531316,498.82669346021646,free,1.0,1.0,0.0,1000.0,ABCD-->ABCD,no
r105_MAL_ex,Malcyt-->Mal,(kegg:MAL_cyt),648.7453093922772,514.1599795420959,516.4830188517017,free,1.0,1.0,0.0,1000.0,ABCD-->ABCD,no
r106_mdh_cyt,Malcyt-->Oxacyt+NADH,(kegg:OXA_cyt),319.8727896687831,958.7240089852519,961.9156532821432,free,1.0,1.0,0.0,1000.0,ABCD-->ABCD,no
r107_mdh_cyt,Oxacyt+NADH-->Malcyt,(kegg:OXA_cyt),362.9077329717311,976.3070493742163,979.5719786736285,free,1.0,1.0,0.0,1000.0,ABCD-->ABCD,no
r108_ATPx,ATP-->ATPex,(kegg:ATP),510.3663811372862,540.3013716043597,539.2944993193773,free,1.0,1.0,0.0,1000.0,nd,no
r109_OXPHOS,NADH-->{2.3}ATP,(kegg:NADH),167.64557923195207,173.03995726267226,172.64061735866244,free,0.0,1.0,0.0,1000.0,nd,no
r110_NADPHx,NADPH-->NADPHex,(kegg:NADPH),195.30454233410347,240.1750590256092,240.2704201605997,free,1.0,1.0,0.0,300.0,nd,no
PGI,r2_pgi<=>r3_pgi,(kegg:R00771),73.17679699360015,83.9313006005029,83.7992111975342,free,1.0,1.0,-100.0,300.0,,
FBA,r5_fba<=>r6_fba,(kegg:R01068),90.85915726386672,94.44399179950099,94.39996199851143,free,1.0,1.0,-100.0,300.0,,
TPI,r7_tpi<=>r8_tpi,(kegg:R01015),90.80497119886672,94.389805734501,94.34577593351143,free,1.0,1.0,-100.0,300.0,,
GAPDH,r9_gapdh<=>r10_gapdh,(kegg:R01061),190.50530859786667,194.09014313350102,194.04611333251145,free,1.0,1.0,-100.0,300.0,,
PEPH,r11_peph<=>r12_peph,(kegg:R01512),143.03296864482897,137.51460653385323,137.50802665230083,free,1.0,1.0,-100.0,300.0,,
IDH,r18_idh<=>r19_idh,(kegg:R00709),-1.2119381767244544,1.797802315826619,1.7424858670982957,free,1.0,1.0,-100.0,100.0,,
SDH,r21_sdh<=>r22_sdh,(kegg:R02164),13.641489394275535,16.65122988682661,16.595913438098286,free,1.0,1.0,-100.0,100.0,,
MDH,r25_mdh<=>r26_mdh,(kegg:R00343),13.437662266001663,11.332217757495247,11.290006190354752,free,1.0,1.0,-100.0,300.0,,
RPI,r31_ri<=>r32_ri,(kegg:R01056),9.007881971133314,5.423047435499056,5.467077236488618,free,1.0,1.0,-100.0,300.0,,
RBE,r33_rbe<=>r34_rbe,(kegg:R01529),17.682360270266578,10.512691198998107,10.60075080097723,free,1.0,1.0,-100.0,100.0,,
TKT1,r35_tkt<=>r36_tkt,(kegg:R01641),8.841180135133314,5.256345599499056,5.300375400488618,free,1.0,1.0,-100.0,100.0,,
TAL,r37_tal<=>r38_tal,(kegg:R08575),8.841180135133264,5.256345599499052,5.300375400488614,free,1.0,1.0,-100.0,100.0,,
TKT2,r39_tkt<=>r40_tkt,(kegg:R01067),8.841180135133264,5.256345599499052,5.300375400488614,free,1.0,1.0,-100.0,100.0,,
FH,r23_fh<=>r24_fh,(kegg:R01082),13.641489394275514,16.651229886826595,16.595913438098272,free,1.0,1.0,-100.0,100.0,,
MDHcyt,r106_mdh_cyt<=>r107_mdh_cyt,(kegg:R00343),-43.03494330294797,-17.58304038896432,-17.656325391485236,free,1.0,1.0,-100.0,300.0,,
GLUDH,r49_gludh<=>r50_gludh,(kegg:R00243),14.853427571000001,14.853427571,14.853427571,free,1.0,1.0,-100.0,100.0,,
Experiment,Fragment_Num,Time,template,GN_CRS2_LM,LN_PRAXIS,Use,Ratio,Stdev
ex1,GC_3PG_585_0,0,0.6220133606433478,0.5511407780680047,0.5515103782077969,1,0.555288766,0.015
ex1,GC_3PG_585_1,0,0.296073797624852,0.4299547746957927,0.4296976590083402,1,0.41971722,0.015
ex1,GC_3PG_585_2,0,0.07826950230876585,0.018730414867693817,0.01861891682139711,1,0.024994013,0.015
ex1,GC_3PG_585_3,0,0.003643339423028992,0.00017403236850596464,0.0001730459624652137,1,0.0,0.015
ex1,GC_AKG_346_0,0,0.623053060204202,0.675329320922193,0.6756043068556837,1,0.671197989,0.015
ex1,GC_AKG_346_1,0,0.2913543962160337,0.256404704282853,0.25627260011817526,1,0.249589337,0.015
ex1,GC_AKG_346_2,0,0.07539313181924003,0.0621216102754892,0.062007094132784865,1,0.06309018,0.015
ex1,GC_AKG_346_3,0,0.009635944415358606,0.005922119916379433,0.005895396119545159,1,0.009509411,0.015
ex1,GC_AKG_346_4,0,0.0005521021154508249,0.00022008826856745884,0.00021846583108450248,1,0.0,0.015
ex1,GC_AKG_346_5,0,1.1365229702509216e-05,2.156334513695e-06,2.136942724277533e-06,1,0.006613083,0.015
ex1,GC_Ala_232_0,0,0.6895171895460293,0.5892793814587716,0.5896137700265431,1,0.588686236,0.015
ex1,GC_Ala_232_1,0,0.296258713428361,0.404828717763563,0.40450306503672734,1,0.405932822,0.015
ex1,GC_Ala_232_2,0,0.014224097025603816,0.005891900777664655,0.005883164936726576,1,0.005380942,0.015
ex1,GC_Ala_260_0,0,0.6463103765458426,0.5773064295218426,0.5777163991607595,1,0.5765076,0.015
ex1,GC_Ala_260_1,0,0.2828329730156891,0.4030711519103672,0.40276921234579555,1,0.412083509,0.015
ex1,GC_Ala_260_2,0,0.06776758965905251,0.01937333216605427,0.01926670564130129,1,0.010386704,0.015
ex1,GC_Ala_260_3,0,0.003089060779409062,0.00024908640173252694,0.0002476828521424502,1,0.001022187,0.015
ex1,GC_Asp_302_0,0,0.8384216647922401,0.8475612750222877,0.8477233646711233,1,0.845278808,0.015
ex1,GC_Asp_302_1,0,0.15479298195117772,0.14861694857342142,0.14846016046492355,1,0.152006654,0.015
ex1,GC_Asp_302_2,0,0.006785353256572777,0.003821776404285001,0.0038164748639484243,1,0.002714538,0.015
ex1,GC_Asp_390_0,0,0.7382606791684081,0.7408641672364921,0.7410774772931735,1,0.739832609,0.015
ex1,GC_Asp_390_1,0,0.23106542044194786,0.235843813737095,0.2357186043082755,1,0.238171996,0.015
ex1,GC_Asp_390_2,0,0.029589441693521346,0.02260942784088578,0.022526276459350805,1,0.02007817,0.015
ex1,GC_Asp_390_3,0,0.0010844586961122737,0.000682591185521526,0.0006776419391960229,1,0.001917225,0.015
ex1,GC_Asp_418_0,0,0.706291057554299,0.7194700707971382,0.7196812877778228,1,0.722222178,0.015
ex1,GC_Asp_418_1,0,0.243726286482278,0.24650445943300622,0.2464120139051756,1,0.243479815,0.015
ex1,GC_Asp_418_2,0,0.04677189423621328,0.03236218289454596,0.03225415518266696,1,0.02955837,0.015
ex1,GC_Asp_418_3,0,0.003145672705028769,0.001643846418685063,0.0016332439747860509,1,0.003568436,0.015
ex1,GC_Asp_418_4,0,6.508902217073706e-05,1.9440456619264616e-05,1.9299159546385664e-05,1,0.001171201,0.015
ex1,GC_Mal_419_0,0,0.6949440005330931,0.7132224290523547,0.7134572049384261,1,0.71581816,0.015
ex1,GC_Mal_419_1,0,0.25107303779512974,0.2516778201233281,0.2515692603634699,1,0.254012483,0.015
ex1,GC_Mal_419_2,0,0.05045054198138282,0.03337715120345236,0.033262303691379044,1,0.023827992,0.015
ex1,GC_Mal_419_3,0,0.003459934822442044,0.001702577566746243,0.0016913576856616857,1,0.003161981,0.015
ex1,GC_Mal_419_4,0,7.248486794193515e-05,2.0022054113246963e-05,1.9873321060838913e-05,1,0.003179384,0.015
